,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Company Name,Treasury Shares Number,Current Deferred Liabilities,Current Deferred Revenue,Current Capital Lease Obligation,Current Accrued Expenses,Restricted Cash,Other Short Term Investments,Cash Financial,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Properties,Cash Equivalents,Treasury Stock,Non Current Deferred Taxes Liabilities,Dividends Payable,Buildings And Improvements,Preferred Stock,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Receivables Adjustments Allowances,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
6/30/2023,134902380,277902380,3025000000,7423000000,-13794000000,4059000000,-2883000000,-13794000000,1762000000,-1602000000,4009000000,-1240000000,362000000,-1602000000,-848000000,-848000000,13182000000,7824000000,3000000,3000000,65336000000,16914000000,8702000000,,,,,1139000000,,7073000000,1462000000,5611000000,,48422000000,,350000000,50000000,50000000,,48072000000,43982000000,,43982000000,64096000000,18557000000,2500000000,,,,,,,,12192000000,2221000000,9971000000,3865000000,,3865000000,,3865000000,,,45539000000,533000000,,20510000000,,,,,21860000000,,21860000000,2636000000,2636000000,MCK,McKesson Corporation,143000000,,,300000000,4090000000,,,,,,,,,,21763000000,1139000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,136000000,277000000,916000000,7295000000,-14081000000,3737000000,-3665000000,-14081000000,1701000000,-1857000000,2769000000,-1490000000,367000000,-1857000000,-905000000,-905000000,12295000000,7747000000,3000000,3000000,63810000000,15853000000,8438000000,,,,,1387000000,,6028000000,1402000000,4626000000,,47957000000,5000000,1267000000,968000000,968000000,,46690000000,42490000000,,42490000000,62320000000,18028000000,1992000000,,,,,,,,12224000000,2277000000,9947000000,3812000000,-2231000000,6043000000,283000000,1635000000,2603000000,109000000,44292000000,513000000,,19691000000,,,,,19410000000,2408000000,17160000000,4678000000,4678000000,MCK,McKesson Corporation,141000000,,,299000000,4200000000,,,,,,,,0,,20997000000,1387000000,,1413000000,0,,,,,,,,,,,,,17000000,,,,,,,,,,,-158000000,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,182609362,342902272,4468000000,7333000000,-4317000000,10519000000,1424000000,-4317000000,389000000,3575000000,9834000000,3735000000,160000000,3575000000,-608000000,84000000,15081000000,1252000000,3000000,3000000,11276000000,7894000000,51000000,322000000,193000000,193000000,251000000,519000000,61000000,6539000000,280000000,6259000000,19000000,3382000000,18000000,794000000,685000000,685000000,111000000,706000000,240000000,147000000,88000000,15011000000,10205000000,467000000,41000000,16000000,270000000,270000000,,14000000,632000000,7892000000,1983000000,5909000000,873000000,-1320000000,2193000000,,2193000000,,,4806000000,154000000,0,,,,,,1884000000,,1835000000,2534000000,2476000000,MCO,Moody's Corporation,160292910,1753000000,1753000000,109000000,466000000,,58000000,,,110000000,110000000,,,,12153000000,458000000,5000000,,0,,147000000,,-35000000,1870000000,,,522000000,,234000000,,,,,,,90000000,,,,,,,,,,-635000000,-57000000,,,,,,,,,49000000,,,,,,,,,,
12/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92000000,,,,,,1659000000,,,,,MCO,Moody's Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,183006681,342902272,4845000000,7272000000,-4698000000,10042000000,1768000000,-4698000000,421000000,3191000000,10042000000,3352000000,161000000,3191000000,-652000000,-652000000,14460000000,1175000000,3000000,3000000,10839000000,8570000000,48000000,351000000,180000000,180000000,257000000,548000000,65000000,7167000000,316000000,6851000000,19000000,2269000000,32000000,105000000,,,251000000,566000000,157000000,96000000,41000000,14191000000,10154000000,430000000,40000000,14000000,264000000,264000000,,27000000,619000000,7889000000,2058000000,5831000000,871000000,-1234000000,2105000000,,1807000000,,,4037000000,133000000,0,,,,,,1563000000,,1513000000,2079000000,2006000000,MCO,Moody's Corporation,159895591,1315000000,1315000000,105000000,409000000,,73000000,,,98000000,98000000,,0,,11795000000,483000000,20000000,298000000,0,,96000000,,-34000000,1547000000,,,521000000,,262000000,,,,,,,97000000,,,,,,,,,,,,,,,,,,,,50000000,,,,,,,,,,
6/30/2023,183457570,342902272,4945000000,7672000000,-4920000000,10367000000,1723000000,-4920000000,449000000,3144000000,10067000000,3312000000,168000000,3144000000,-570000000,-570000000,14213000000,1124000000,3000000,3000000,11379000000,8712000000,49000000,381000000,195000000,195000000,249000000,552000000,67000000,7267000000,344000000,6923000000,19000000,2667000000,3000000,405000000,300000000,300000000,173000000,602000000,154000000,112000000,37000000,14691000000,10301000000,418000000,39000000,15000000,265000000,265000000,,7000000,622000000,8064000000,2138000000,5926000000,871000000,-1195000000,2066000000,,1736000000,,,4390000000,144000000,10000000,,,,,,1620000000,,1542000000,2335000000,2278000000,MCO,Moody's Corporation,159444702,1484000000,1484000000,105000000,448000000,,57000000,,,96000000,96000000,,0,,11626000000,485000000,5000000,330000000,0,,112000000,,-33000000,1575000000,,,526000000,,281000000,,,,,,,141000000,,,,,,,,,,,,,,,,,,,,78000000,,,,,,,,,,
3/31/2023,183500000,342904478,5343000000,7917000000,-5178000000,10353000000,1438000000,-5178000000,455000000,2891000000,9854000000,3058000000,167000000,2891000000,-589000000,-589000000,13979000000,1068000000,3000000,3000000,11661000000,8673000000,46000000,307000000,195000000,195000000,248000000,546000000,70000000,7312000000,349000000,6963000000,19000000,2988000000,1000000,605000000,499000000,499000000,95000000,599000000,158000000,84000000,70000000,14719000000,10293000000,422000000,41000000,15000000,268000000,268000000,,12000000,609000000,8069000000,2177000000,5892000000,857000000,-1153000000,2010000000,,1678000000,,,4426000000,191000000,4000000,,,,,,1712000000,,1712000000,2197000000,2119000000,MCO,Moody's Corporation,159404478,1688000000,1688000000,106000000,441000000,,78000000,,,89000000,89000000,,0,,11570000000,476000000,4000000,332000000,0,,84000000,,-38000000,1750000000,,,520000000,,322000000,,,,,,,85000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,84008436,84008436,701758000,778663000,-555812000,1565952000,179241000,-555812000,68907000,856196000,1549543000,856196000,,856196000,-2154000,-2154000,-145436000,1002946000,840000,840000,1311969000,1064687000,289362000,,,,,34105000,,741220000,47873000,693347000,,247282000,,37443000,16409000,16409000,,209839000,58114000,26478000,31636000,2168165000,1741642000,83074000,,,101942000,101942000,,,,1412008000,18759000,1393249000,144618000,,144618000,,144618000,,,426523000,9578000,,,,,,,288942000,,283749000,115471000,7998000,MD,"Pediatrix Medical Group, Inc.",,,,21034000,151725000,,107473000,,,,,,,,,34105000,,,0,,2804000,,-1172972000,1456721000,,,,,12532000,,,,5193000,,,2936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,84018023,84018023,550835000,701648000,-556345000,1473154000,94508000,-556345000,77555000,849061000,1460654000,849061000,,849061000,-2214000,-2214000,-149471000,999906000,840000,840000,1370749000,981803000,281836000,,,,,34308000,,665659000,54066000,611593000,,388946000,,35989000,12500000,12500000,,352957000,73292000,38704000,34588000,2219810000,1736356000,82165000,,,102852000,102852000,,,,1405406000,21240000,1384166000,145933000,-142715000,288648000,,278330000,,2032000,483454000,12308000,,,,,,,279878000,,272313000,177743000,73258000,MD,"Pediatrix Medical Group, Inc.",0,,,23489000,279665000,,104485000,,,,,,0,,,34308000,,8286000,0,,2159000,,-1106900000,1379213000,,,,,13525000,,,,7565000,,,8262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,83929000,83929000,615441000,706923000,-579593000,1604605000,70080000,-579593000,70303000,967985000,1589676000,967985000,,967985000,-3517000,-3517000,-25184000,995847000,839000,839000,1358354000,1007910000,296712000,,,,,41018000,,670180000,48489000,621691000,,350444000,,36743000,14929000,14929000,,313701000,78180000,46484000,31696000,2326339000,1905815000,108010000,,,102638000,102638000,,,,1547578000,15486000,1532092000,147589000,,147589000,,147589000,,,420524000,7866000,,,,,,,277352000,,277352000,124720000,21179000,MD,"Pediatrix Medical Group, Inc.",,,,21814000,235521000,,103541000,,,,,,,,,41018000,,,0,,11118000,,-1171268000,1448620000,,,,,10586000,,,,,,,3204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,83841000,83841000,675343000,745825000,-606517000,1623567000,77449000,-606517000,64633000,942375000,1608648000,942375000,,942375000,-3518000,-3518000,-46575000,991630000,838000,838000,1363135000,1042817000,295711000,,,,,37767000,,709339000,43066000,666273000,,320318000,,36486000,14919000,14919000,,283832000,68349000,37357000,30992000,2305510000,1907743000,116829000,,,101600000,101600000,,,,1548892000,16800000,1532092000,140422000,,140422000,,140422000,,,397767000,10115000,,,,,,,270852000,,270852000,104339000,5849000,MD,"Pediatrix Medical Group, Inc.",,,,21567000,215483000,,98490000,,,,,,,,,37767000,,,0,,6152000,,-1138266000,1409118000,,,,,12461000,,,,,,,9370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,83759495,83759495,751604000,822763000,-639808000,1667499000,124374000,-639808000,65035000,909771000,1652585000,909771000,,909771000,-3131000,-3131000,-74857000,986923000,836000,836000,1410280000,1126062000,306568000,,,,,32703000,,786791000,43977000,742814000,,284218000,,35972000,14914000,14914000,,248246000,85259000,49926000,35333000,2320051000,1911459000,119381000,,,102778000,102778000,,,,1549579000,17487000,1532092000,139721000,,139721000,,139721000,,,408592000,12069000,,,,,,,278739000,,278739000,102833000,6124000,MD,"Pediatrix Medical Group, Inc.",,,,21058000,162987000,,96709000,,,,,,,,,32703000,,,0,,21571000,,-1189198000,1467937000,,,,,14951000,,,,,,,3235000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,1343983796,1996537778,17688000000,19568000000,-14671000000,47546000000,-5862000000,-14671000000,504000000,28482000000,45263000000,28514000000,32000000,28482000000,-11132000000,-11132000000,35074000000,32163000000,0,0,49110000000,23822000000,2609000000,,520000000,520000000,,3408000000,,17285000000,504000000,16781000000,,25288000000,10668000000,2283000000,2283000000,2024000000,928000000,11409000000,8618000000,,8618000000,77624000000,58198000000,1083000000,1068000000,,240000000,240000000,,,2440000000,43153000000,19614000000,23539000000,10214000000,-8025000000,18239000000,1084000000,640000000,12693000000,376000000,19426000000,9674000000,,3562000000,,2718000000,,1003000000,4814000000,816000000,3998000000,1376000000,1376000000,MDLZ,"Mondelez International, Inc.",652553982,,,,2791000000,,,,204000000,,,,0,,27623000000,3408000000,,3446000000,,,,,-48000000,4046000000,,,2440000000,,,,,,,,,,,,,,55000000,,,,,,,,,,,,,-159000000,,,,,,,,,,,,
12/31/2023,1348482705,1996537778,17598000000,19945000000,-15400000000,47740000000,-7310000000,-15400000000,537000000,28332000000,45219000000,28366000000,34000000,28332000000,-10946000000,-10946000000,34236000000,32216000000,0,0,43025000000,24012000000,2735000000,,561000000,561000000,,3292000000,,17424000000,537000000,16887000000,,19013000000,4330000000,2521000000,2521000000,2101000000,1158000000,11004000000,8321000000,,8321000000,71391000000,59688000000,886000000,1043000000,1043000000,408000000,408000000,,,3242000000,43732000000,19836000000,23896000000,10377000000,-7996000000,18373000000,1118000000,683000000,12736000000,384000000,11703000000,1766000000,,3615000000,,2790000000,,973000000,4512000000,878000000,3634000000,1810000000,1810000000,MDLZ,"Mondelez International, Inc.",648055073,,,,2683000000,,,,346000000,,,,0,,27174000000,3292000000,,3452000000,,,,,-66000000,3700000000,,,3242000000,,,,,,,,,,,,,,74000000,,,,,,,,,,,,,-148000000,,,,,,,,,,,,
9/30/2023,1365891091,2001563113,18376000000,20452000000,-14247000000,48521000000,-7421000000,-14247000000,466000000,28535000000,44946000000,28560000000,25000000,28535000000,-11232000000,-11232000000,33866000000,32181000000,0,0,42300000000,23364000000,2479000000,,564000000,564000000,,3444000000,,16877000000,466000000,16411000000,,18936000000,3956000000,3575000000,3575000000,2354000000,1043000000,10362000000,7658000000,,7658000000,70860000000,59345000000,2173000000,1106000000,1106000000,483000000,483000000,,,3051000000,42782000000,19475000000,23307000000,9750000000,-7631000000,17381000000,990000000,608000000,12100000000,370000000,11515000000,1806000000,,3808000000,,2924000000,,1027000000,4291000000,793000000,3498000000,1610000000,1610000000,MDLZ,"Mondelez International, Inc.",635672022,,,,2704000000,,,,1142000000,,,,0,,26280000000,3444000000,,3313000000,,,,,-63000000,3561000000,,,3051000000,,,,,,,,,,,,,,79000000,,,,,,,,,,,,,-143000000,,,,,,,,,,,,
6/30/2023,1360999622,1996537778,19744000000,21718000000,-14862000000,49873000000,-6380000000,-14862000000,492000000,28647000000,46794000000,28679000000,32000000,28647000000,-10710000000,-10710000000,33458000000,32148000000,0,0,43346000000,25344000000,2593000000,,587000000,587000000,,3525000000,,18639000000,492000000,18147000000,,18002000000,3846000000,3079000000,3079000000,901000000,816000000,10261000000,7740000000,,7740000000,72025000000,60403000000,2165000000,1108000000,1108000000,432000000,432000000,,,3245000000,43509000000,19839000000,23670000000,9944000000,-7659000000,17603000000,915000000,636000000,12298000000,379000000,11622000000,2530000000,,3825000000,,2881000000,,1092000000,3785000000,851000000,2934000000,1482000000,1482000000,MDLZ,"Mondelez International, Inc.",635538156,,,,2521000000,,,,2080000000,,,,0,,26249000000,3525000000,,3375000000,,,,,-64000000,2998000000,,,3245000000,,,,,,,,,,,,,,98000000,,,,,,,,,,,,,-148000000,,,,,,,,,,,,
3/31/2023,1362276840,1996537778,20285000000,22710000000,-15186000000,50430000000,-5860000000,-15186000000,508000000,28228000000,46784000000,28274000000,46000000,28228000000,-10814000000,-10814000000,33040000000,32112000000,0,0,44512000000,25981000000,2668000000,,601000000,601000000,,3648000000,,19064000000,508000000,18556000000,,18531000000,3547000000,3646000000,3646000000,1185000000,785000000,10553000000,7885000000,,7885000000,72786000000,60115000000,2000000000,1065000000,1065000000,451000000,451000000,,,3397000000,43414000000,19810000000,23604000000,9788000000,-7441000000,17229000000,825000000,657000000,12050000000,378000000,12671000000,2815000000,,3627000000,,2680000000,,1096000000,4312000000,810000000,3502000000,1917000000,1917000000,MDLZ,"Mondelez International, Inc.",634260938,,,,2668000000,,,,2350000000,,,,0,,26110000000,3648000000,,3319000000,,,,,-60000000,3562000000,,,3397000000,,,,,,,,,,,,,,111000000,,,,,,,,,,,,,-149000000,,,,,,,,,,,,
3/31/2024,203888237,203888237,2297101000,2462735000,2490499000,5367338000,397121000,2490499000,76338000,2980941000,5306638000,2980941000,,2980941000,-18310000,-18310000,1328812000,1466551000,203888000,203888000,4858930000,3936107000,706947000,,,,,461808000,,2378901000,53204000,2325697000,388451000,922823000,90115000,83834000,60700000,60700000,47394000,701480000,527184000,81972000,420168000,7839871000,6519927000,655066000,,,,,,,119396000,490442000,1482000,488960000,5255023000,-2262789000,7517812000,,7517812000,,,1319944000,241073000,,57429000,6204000,47589000,,3636000,932146000,,942302000,89296000,89296000,MDU,"MDU Resources Group, Inc.",,,,23134000,174296000,,,,,,,,,,0,461808000,25044000,,,,,,,,,,,,,0,,0,,,,,,,,,,,-10156000,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,203689090,203689090,2344348000,2467752000,2414269000,5298456000,287990000,2414269000,74529000,2905233000,5142137000,2905233000,,2905233000,-18384000,-18384000,1253693000,1466235000,203689000,203689000,4927926000,3852193000,720725000,,,,,458548000,,2288549000,51645000,2236904000,384371000,1075733000,70761000,179203000,156319000,156319000,85512000,740257000,558786000,58110000,475215000,7833159000,6469436000,658964000,,,,,,,124235000,490964000,2004000,488960000,5195273000,-2220206000,7415479000,,1328833000,191802000,10951000,1363723000,256574000,,87392000,7600000,74332000,,5460000,942782000,,942782000,48875000,48875000,MDU,"MDU Resources Group, Inc.",0,,,22884000,181471000,28100000,,,,,,,5831226000,,0,458548000,25461000,52667000,,,,,-9570000,952352000,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,203638373,204177294,2615054000,2723567000,2265948000,5404981000,341358000,2265948000,76020000,2757434000,5037262000,2757434000,,2757434000,-17759000,-17759000,1108616000,1462939000,203638000,203638000,5111715000,3938060000,694587000,,,,,526654000,,2332736000,52908000,2279828000,384083000,1173655000,45013000,390831000,367719000,367719000,94230000,643581000,489434000,49500000,414479000,7869149000,6354136000,627428000,,,,,,,139327000,491486000,2526000,488960000,5095895000,-2191514000,7287409000,,7287409000,,,1515013000,233053000,,80235000,5775000,66636000,,7824000,893019000,,900750000,308706000,32493000,MDU,"MDU Resources Group, Inc.",538921,,,23112000,154147000,,276213000,,,,,,,,0,526654000,25455000,,,,,,,,,,,,,0,,0,,,,,,,,,,,-7731000,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,203638373,203638373,2541642000,2667416000,2214184000,5298615000,413069000,2214184000,74994000,2706193000,4952296000,2706193000,,2706193000,-17697000,-17697000,1059517000,1460735000,203638000,203638000,4978657000,3846892000,652742000,,,,,515661000,,2298431000,52328000,2246103000,380058000,1131765000,48057000,368985000,346319000,346319000,66555000,648168000,504933000,60284000,399339000,7684850000,6140016000,511095000,,,,,,,139569000,492009000,3049000,488960000,4997343000,-2160439000,7157782000,,7157782000,,,1544834000,253664000,,60154000,5877000,47886000,,6391000,934173000,,934173000,296843000,50780000,MDU,"MDU Resources Group, Inc.",,,,22666000,143235000,,246063000,,,,,,,,0,515661000,45310000,,,,,,-6873000,941046000,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,203623893,204162814,3255379000,3467175000,2795548000,6923950000,472385000,2795548000,118607000,3575382000,6344419000,3575382000,,3575382000,-30366000,-30366000,1943917000,1461294000,204163000,204163000,6267205000,4630876000,726591000,,,,,642069000,,2852669000,83632000,2769037000,409547000,1636329000,44395000,614506000,579531000,579531000,65509000,911919000,666408000,73914000,547188000,9842587000,7733873000,510806000,,,,,,,172467000,779834000,16334000,763500000,6270766000,-3322894000,9593660000,,9593660000,,,2108714000,297742000,,425834000,227988000,51265000,,146581000,1291949000,,1291949000,93189000,93189000,MDU,"MDU Resources Group, Inc.",538921,,,34975000,245511000,,,,,,,,,,3626000,642069000,45306000,,,,,,-12173000,1304122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,715661353,1193562132,,19261000000,19498000000,47796000000,,19498000000,,28535000000,47669000000,28796000000,261000000,28535000000,-19771000000,-19771000000,40350000000,33718000000,12000000,12000000,6.4878E+11,,,,,,,835000000,,19134000000,,19134000000,,,,127000000,127000000,127000000,,367000000,367000000,10000000,,6.77576E+11,,,,,,,,,3.08657E+11,9037000000,,9037000000,,,,,,,,,,,,,,,,29986000000,,29986000000,3.03133E+11,19840000000,MET,"MetLife, Inc.",477900779,,,,,,2.83293E+11,,,,,,,,25774000000,835000000,357000000,,0,,10000000,,,,96200000,,14301000000,14301000000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,730821111,1191823651,,18828000000,20779000000,48811000000,,20779000000,32000000,30015000000,48692000000,30253000000,238000000,30015000000,-19242000000,-19242000000,40146000000,33690000000,12000000,12000000,6.57331E+11,,,,,,,927000000,,18709000000,32000000,18677000000,,,,119000000,119000000,119000000,,386000000,386000000,,,6.87584E+11,,,,,,,,,3.13309E+11,9236000000,,9236000000,,,,,,,,,,,,,,,,29161000000,,28971000000,3.08096E+11,20639000000,MET,"MetLife, Inc.",461002540,,,,,,2.87457E+11,,0,,,,,,24591000000,927000000,386000000,,0,,,,,,96200000,,14764000000,14764000000,,,,,190000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,744366475,1191702390,3884000000,18796000000,16549000000,44454000000,,16549000000,,25658000000,44293000000,25895000000,237000000,25658000000,-24254000000,-24254000000,39958000000,33666000000,12000000,12000000,6.26225E+11,,,,,,,128000000,,18635000000,,18635000000,,,,161000000,161000000,161000000,,440000000,440000000,59000000,,6.5212E+11,,,,,,,,,3.02819E+11,9109000000,,9109000000,,,,,,,,,,,,,,,,19002000000,,19002000000,2.92391E+11,14912000000,MET,"MetLife, Inc.",447335915,,,,,,2.77479E+11,,,,,,,,23724000000,128000000,381000000,,0,,59000000,,,,96200000,,14918000000,14918000000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,757210115,1191608802,2482000000,17899000000,21000000000,48160000000,,21000000000,,30261000000,47960000000,30492000000,231000000,30261000000,-20386000000,-20386000000,39928000000,33630000000,12000000,12000000,6.46787E+11,,,,,,,752000000,,17699000000,,17699000000,,,,200000000,200000000,200000000,,366000000,366000000,,,6.77279E+11,,,,,,,,,3.16473E+11,9261000000,,9261000000,,,,,,,,,,,,,,,,18719000000,,18530000000,3.06195E+11,15417000000,MET,"MetLife, Inc.",434398687,,,,,,2.90778E+11,,,,,,,,22923000000,752000000,366000000,,0,18806000000,,,,,96200000,,14722000000,14722000000,,,,,189000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,769179074,1191525076,,17949000000,22815000000,50143000000,,22815000000,,32194000000,49975000000,32423000000,229000000,32194000000,-19147000000,-19147000000,39957000000,33617000000,12000000,12000000,6.41843E+11,,,,,,,1111000000,,17781000000,,17781000000,,,,168000000,168000000,168000000,,910000000,910000000,554000000,,6.74266E+11,,,,,,,,,3.14233E+11,9379000000,,9379000000,,,,,,,,,,,,,,,,18692000000,,18692000000,3.06494E+11,18456000000,MET,"MetLife, Inc.",422346002,,,,,,2.88038E+11,,,,,,,,22245000000,1111000000,356000000,,0,19863000000,554000000,,,,24072200,,14437000000,14437000000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,2537000000,2537000000,,37633000000,1.28875E+11,1.67916E+11,47229000000,1.28875E+11,19246000000,1.49529E+11,1.67916E+11,1.49529E+11,,1.49529E+11,-2655000000,-2655000000,76793000000,75391000000,0,0,73315000000,45214000000,1462000000,,,,7795000000,,,35957000000,17570000000,18387000000,,28101000000,4909000000,1676000000,,,3333000000,18183000000,8648000000,4863000000,3785000000,2.22844E+11,1.47514E+11,8179000000,,,,,,,6218000000,20654000000,,20654000000,1.12463E+11,-35910000000,1.48373E+11,22975000000,76922000000,,2075000000,75330000000,3780000000,,,,,,,13430000000,,13430000000,58120000000,32307000000,META,"Meta Platforms, Inc.",,,,1676000000,9535000000,,25813000000,6495000000,,6218000000,6218000000,7079000000,0,25812000000,,,,39322000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,2561000000,2561000000,,37234000000,1.31726E+11,1.71553E+11,53405000000,1.31726E+11,18849000000,1.53168E+11,1.71553E+11,1.53168E+11,,1.53168E+11,-2155000000,-2155000000,82070000000,73253000000,0,0,76455000000,44495000000,1370000000,,,,7514000000,,,35611000000,17226000000,18385000000,,31960000000,5506000000,1623000000,,,6659000000,18172000000,9367000000,3655000000,4849000000,2.29623E+11,1.44258E+11,6794000000,,,,,,,6141000000,21442000000,788000000,20654000000,1.09881E+11,-33134000000,1.43015E+11,24269000000,71733000000,,2080000000,85365000000,3793000000,,,,,,,16169000000,,16169000000,65403000000,41862000000,META,"Meta Platforms, Inc.",0,,,1623000000,8805000000,,23541000000,6265000000,,6141000000,6141000000,6972000000,0,35597000000,,,,37961000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863000000,,,,,,,,,,,,,
9/30/2023,2571000000,2571000000,,36217000000,1.21392E+11,1.61256E+11,47847000000,1.21392E+11,17834000000,1.42873E+11,1.61256E+11,1.42873E+11,,1.42873E+11,-3556000000,-3556000000,75205000000,71224000000,0,0,73401000000,42870000000,1281000000,,,,6832000000,,,34757000000,16374000000,18383000000,,30531000000,4931000000,1460000000,,,4968000000,19172000000,9750000000,4608000000,4372000000,2.16274E+11,1.37896E+11,5468000000,,,,,,,6142000000,21481000000,813000000,20668000000,1.04805E+11,-30848000000,1.35653E+11,22945000000,68545000000,,1900000000,78378000000,4311000000,,,,,,,12944000000,,12944000000,61123000000,36890000000,META,"Meta Platforms, Inc.",,,,1460000000,9422000000,,24233000000,5333000000,,6142000000,6142000000,6841000000,0,31557000000,,,,35422000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770000000,,,,,,,,,,,,,
6/30/2023,2573000000,2573000000,,36218000000,1.12518E+11,1.52415E+11,39639000000,1.12518E+11,17836000000,1.34033E+11,1.52415E+11,1.34033E+11,,1.34033E+11,-3106000000,-3106000000,67980000000,69159000000,0,0,72655000000,42734000000,1342000000,,,,6570000000,,,34822000000,16440000000,18382000000,,29921000000,4723000000,1396000000,,,4338000000,19464000000,9702000000,5837000000,3093000000,2.06688E+11,1.37128E+11,8501000000,,,,,,,6208000000,21515000000,856000000,20659000000,1.00904E+11,-28953000000,1.29857E+11,24843000000,64032000000,,1875000000,69560000000,3603000000,,,,,,,12511000000,,12511000000,53446000000,28785000000,META,"Meta Platforms, Inc.",,,,1396000000,9762000000,,24661000000,6122000000,,6208000000,6208000000,6661000000,0,22663000000,,,,32446000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772000000,,,,,,,,,,,,,
